[2014-08-20 13:59:35.837] FINE : 1    : *** Created file: /tsim/logs/logpref.txtLATEST_runlog.log  (run log)
[2014-08-20 13:59:35.878] FINE : 1    : *** Created file: /tsim/logs/logpref.txtLATEST_summary.log  (summary log)
[2014-08-20 13:59:35.883] FINE : 1    : *** Created file: /tsim/logs/logpref.txtLATEST_data.log  (request/response data)
[2014-08-20 13:59:35.883] INFO : 1    : Loading configuration file...
[2014-08-20 13:59:35.884] INFO : 1    : Loading REPOSITORY...
[2014-08-20 13:59:35.888] FINE : 1    : *** Loading GLOBAL repository...
[2014-08-20 13:59:35.932] FINE : 1    : *** GLOBAL repository loaded!
[2014-08-20 13:59:35.933] FINE : 1    : *** Loading LOCAL repository...
[2014-08-20 13:59:35.950] FINE : 1    : *** LOCAL repository loaded!
[2014-08-20 13:59:35.950] INFO : 1    : REPOSITORY loaded!
[2014-08-20 13:59:35.950] INFO : 1    : Loading MODELS...
[2014-08-20 13:59:35.967] FINE : 1    : *** Creating MODEL...
[2014-08-20 13:59:35.971] FINEST : 1  : *** Linking Model with local repository...Repository (Local)@d37c3b5
[2014-08-20 13:59:35.980] FINE : 1    : *** Loading file: /var/opt/ffs/usecases/sms/cipip_sms_request_01.xml
[2014-08-20 13:59:35.998] WARNING : 1 : Got ParseException, but continuing. org.xml.sax.SAXParseException; lineNumber: 2; columnNumber: 127; schema_reference.4: Failed to read schema document 'schema/diameterRequest.xsd', because 1) could not find the document; 2) the document could not be read; 3) the root element of the document is not <xsd:schema>.
[2014-08-20 13:59:36.0]   SEVERE : 1  : Got ParseException, but continuing. org.xml.sax.SAXParseException; lineNumber: 2; columnNumber: 127; cvc-elt.1: Cannot find the declaration of element 'RequestData'.
[2014-08-20 13:59:36.2]   WARNING : 1 : Got ParseException, but continuing. org.xml.sax.SAXParseException; lineNumber: 5; columnNumber: 62; schema_reference.4: Failed to read schema document 'schema/diameterRequest.xsd', because 1) could not find the document; 2) the document could not be read; 3) the root element of the document is not <xsd:schema>.
[2014-08-20 13:59:36.4]   WARNING : 1 : Got ParseException, but continuing. org.xml.sax.SAXParseException; lineNumber: 5; columnNumber: 62; schema_reference.4: Failed to read schema document 'schema/diameterRequest.xsd', because 1) could not find the document; 2) the document could not be read; 3) the root element of the document is not <xsd:schema>.
[2014-08-20 13:59:36.5]   WARNING : 1 : Got ParseException, but continuing. org.xml.sax.SAXParseException; lineNumber: 5; columnNumber: 62; schema_reference.4: Failed to read schema document 'schema/diameterRequest.xsd', because 1) could not find the document; 2) the document could not be read; 3) the root element of the document is not <xsd:schema>.
[2014-08-20 13:59:36.7]   WARNING : 1 : Got ParseException, but continuing. org.xml.sax.SAXParseException; lineNumber: 5; columnNumber: 62; schema_reference.4: Failed to read schema document 'schema/diameterRequest.xsd', because 1) could not find the document; 2) the document could not be read; 3) the root element of the document is not <xsd:schema>.
[2014-08-20 13:59:36.10]  WARNING : 1 : Got ParseException, but continuing. org.xml.sax.SAXParseException; lineNumber: 8; columnNumber: 41; schema_reference.4: Failed to read schema document 'schema/diameterRequest.xsd', because 1) could not find the document; 2) the document could not be read; 3) the root element of the document is not <xsd:schema>.
[2014-08-20 13:59:36.12]  WARNING : 1 : Got ParseException, but continuing. org.xml.sax.SAXParseException; lineNumber: 8; columnNumber: 41; schema_reference.4: Failed to read schema document 'schema/diameterRequest.xsd', because 1) could not find the document; 2) the document could not be read; 3) the root element of the document is not <xsd:schema>.
[2014-08-20 13:59:36.17]  WARNING : 1 : Got ParseException, but continuing. org.xml.sax.SAXParseException; lineNumber: 8; columnNumber: 41; schema_reference.4: Failed to read schema document 'schema/diameterRequest.xsd', because 1) could not find the document; 2) the document could not be read; 3) the root element of the document is not <xsd:schema>.
[2014-08-20 13:59:36.18]  WARNING : 1 : Got ParseException, but continuing. org.xml.sax.SAXParseException; lineNumber: 8; columnNumber: 41; schema_reference.4: Failed to read schema document 'schema/diameterRequest.xsd', because 1) could not find the document; 2) the document could not be read; 3) the root element of the document is not <xsd:schema>.
[2014-08-20 13:59:36.26]  WARNING : 1 : Got ParseException, but continuing. org.xml.sax.SAXParseException; lineNumber: 10; columnNumber: 52; schema_reference.4: Failed to read schema document 'schema/diameterRequest.xsd', because 1) could not find the document; 2) the document could not be read; 3) the root element of the document is not <xsd:schema>.
[2014-08-20 13:59:36.27]  WARNING : 1 : Got ParseException, but continuing. org.xml.sax.SAXParseException; lineNumber: 10; columnNumber: 52; schema_reference.4: Failed to read schema document 'schema/diameterRequest.xsd', because 1) could not find the document; 2) the document could not be read; 3) the root element of the document is not <xsd:schema>.
[2014-08-20 13:59:36.29]  WARNING : 1 : Got ParseException, but continuing. org.xml.sax.SAXParseException; lineNumber: 10; columnNumber: 52; schema_reference.4: Failed to read schema document 'schema/diameterRequest.xsd', because 1) could not find the document; 2) the document could not be read; 3) the root element of the document is not <xsd:schema>.
[2014-08-20 13:59:36.30]  WARNING : 1 : Got ParseException, but continuing. org.xml.sax.SAXParseException; lineNumber: 10; columnNumber: 52; schema_reference.4: Failed to read schema document 'schema/diameterRequest.xsd', because 1) could not find the document; 2) the document could not be read; 3) the root element of the document is not <xsd:schema>.
[2014-08-20 13:59:36.32]  WARNING : 1 : Got ParseException, but continuing. org.xml.sax.SAXParseException; lineNumber: 12; columnNumber: 47; schema_reference.4: Failed to read schema document 'schema/diameterRequest.xsd', because 1) could not find the document; 2) the document could not be read; 3) the root element of the document is not <xsd:schema>.
[2014-08-20 13:59:36.33]  WARNING : 1 : Got ParseException, but continuing. org.xml.sax.SAXParseException; lineNumber: 12; columnNumber: 47; schema_reference.4: Failed to read schema document 'schema/diameterRequest.xsd', because 1) could not find the document; 2) the document could not be read; 3) the root element of the document is not <xsd:schema>.
[2014-08-20 13:59:36.38]  WARNING : 1 : Got ParseException, but continuing. org.xml.sax.SAXParseException; lineNumber: 12; columnNumber: 47; schema_reference.4: Failed to read schema document 'schema/diameterRequest.xsd', because 1) could not find the document; 2) the document could not be read; 3) the root element of the document is not <xsd:schema>.
[2014-08-20 13:59:36.39]  WARNING : 1 : Got ParseException, but continuing. org.xml.sax.SAXParseException; lineNumber: 12; columnNumber: 47; schema_reference.4: Failed to read schema document 'schema/diameterRequest.xsd', because 1) could not find the document; 2) the document could not be read; 3) the root element of the document is not <xsd:schema>.
[2014-08-20 13:59:36.41]  WARNING : 1 : Got ParseException, but continuing. org.xml.sax.SAXParseException; lineNumber: 15; columnNumber: 62; schema_reference.4: Failed to read schema document 'schema/diameterRequest.xsd', because 1) could not find the document; 2) the document could not be read; 3) the root element of the document is not <xsd:schema>.
[2014-08-20 13:59:36.42]  WARNING : 1 : Got ParseException, but continuing. org.xml.sax.SAXParseException; lineNumber: 15; columnNumber: 62; schema_reference.4: Failed to read schema document 'schema/diameterRequest.xsd', because 1) could not find the document; 2) the document could not be read; 3) the root element of the document is not <xsd:schema>.
[2014-08-20 13:59:36.43]  WARNING : 1 : Got ParseException, but continuing. org.xml.sax.SAXParseException; lineNumber: 15; columnNumber: 62; schema_reference.4: Failed to read schema document 'schema/diameterRequest.xsd', because 1) could not find the document; 2) the document could not be read; 3) the root element of the document is not <xsd:schema>.
[2014-08-20 13:59:36.44]  WARNING : 1 : Got ParseException, but continuing. org.xml.sax.SAXParseException; lineNumber: 15; columnNumber: 62; schema_reference.4: Failed to read schema document 'schema/diameterRequest.xsd', because 1) could not find the document; 2) the document could not be read; 3) the root element of the document is not <xsd:schema>.
[2014-08-20 13:59:36.54]  WARNING : 1 : Got ParseException, but continuing. org.xml.sax.SAXParseException; lineNumber: 17; columnNumber: 44; schema_reference.4: Failed to read schema document 'schema/diameterRequest.xsd', because 1) could not find the document; 2) the document could not be read; 3) the root element of the document is not <xsd:schema>.
[2014-08-20 13:59:36.56]  WARNING : 1 : Got ParseException, but continuing. org.xml.sax.SAXParseException; lineNumber: 17; columnNumber: 44; schema_reference.4: Failed to read schema document 'schema/diameterRequest.xsd', because 1) could not find the document; 2) the document could not be read; 3) the root element of the document is not <xsd:schema>.
[2014-08-20 13:59:36.57]  WARNING : 1 : Got ParseException, but continuing. org.xml.sax.SAXParseException; lineNumber: 17; columnNumber: 44; schema_reference.4: Failed to read schema document 'schema/diameterRequest.xsd', because 1) could not find the document; 2) the document could not be read; 3) the root element of the document is not <xsd:schema>.
[2014-08-20 13:59:36.61]  WARNING : 1 : Got ParseException, but continuing. org.xml.sax.SAXParseException; lineNumber: 17; columnNumber: 44; schema_reference.4: Failed to read schema document 'schema/diameterRequest.xsd', because 1) could not find the document; 2) the document could not be read; 3) the root element of the document is not <xsd:schema>.
[2014-08-20 13:59:36.62]  WARNING : 1 : Got ParseException, but continuing. org.xml.sax.SAXParseException; lineNumber: 19; columnNumber: 44; schema_reference.4: Failed to read schema document 'schema/diameterRequest.xsd', because 1) could not find the document; 2) the document could not be read; 3) the root element of the document is not <xsd:schema>.
[2014-08-20 13:59:36.63]  WARNING : 1 : Got ParseException, but continuing. org.xml.sax.SAXParseException; lineNumber: 19; columnNumber: 44; schema_reference.4: Failed to read schema document 'schema/diameterRequest.xsd', because 1) could not find the document; 2) the document could not be read; 3) the root element of the document is not <xsd:schema>.
[2014-08-20 13:59:36.64]  WARNING : 1 : Got ParseException, but continuing. org.xml.sax.SAXParseException; lineNumber: 19; columnNumber: 44; schema_reference.4: Failed to read schema document 'schema/diameterRequest.xsd', because 1) could not find the document; 2) the document could not be read; 3) the root element of the document is not <xsd:schema>.
[2014-08-20 13:59:36.65]  WARNING : 1 : Got ParseException, but continuing. org.xml.sax.SAXParseException; lineNumber: 19; columnNumber: 44; schema_reference.4: Failed to read schema document 'schema/diameterRequest.xsd', because 1) could not find the document; 2) the document could not be read; 3) the root element of the document is not <xsd:schema>.
[2014-08-20 13:59:36.66]  WARNING : 1 : Got ParseException, but continuing. org.xml.sax.SAXParseException; lineNumber: 23; columnNumber: 32; schema_reference.4: Failed to read schema document 'schema/diameterRequest.xsd', because 1) could not find the document; 2) the document could not be read; 3) the root element of the document is not <xsd:schema>.
[2014-08-20 13:59:36.68]  WARNING : 1 : Got ParseException, but continuing. org.xml.sax.SAXParseException; lineNumber: 23; columnNumber: 32; schema_reference.4: Failed to read schema document 'schema/diameterRequest.xsd', because 1) could not find the document; 2) the document could not be read; 3) the root element of the document is not <xsd:schema>.
